Bicentenario  2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO_UNICO;Sexo;Tramo_Edad;Eliminar la pobreza (1);Eliminar la pobreza (2);Eliminar la pobreza (3);Eliminar la pobreza (4);Ser un país desarrollado (1);Ser un país desarrollado (2);Ser un país desarrollado (3);Ser un país desarrollado (4);Detener el daño al medio ambiente (1);Detener el daño al medio ambiente (2);Detener el daño al medio ambiente (3);Detener el daño al medio ambiente (4)
98;2;3;9;2;9;9;9;2;9;9;9;9;3;9
99;2;2;9;2;9;9;9;2;9;9;9;9;3;9
100;2;1;9;2;9;9;9;9;3;9;9;9;3;9
101;2;1;9;2;9;9;9;9;3;9;9;9;3;9
102;2;5;9;2;9;9;9;9;3;9;1;9;9;9
103;2;4;9;2;9;9;9;9;3;9;9;2;9;9
104;1;3;9;2;9;9;9;9;3;9;9;9;3;9
105;2;3;1;9;9;9;1;9;9;9;1;9;9;9
106;2;5;9;2;9;9;9;2;9;9;9;9;3;9
107;1;4;9;2;9;9;9;9;3;9;1;9;9;9
108;1;5;1;9;9;9;9;2;9;9;9;9;3;9
109;2;3;9;9;3;9;9;9;3;9;9;9;3;9
110;2;1;9;2;9;9;9;2;9;9;9;9;3;9
111;2;3;9;2;9;9;9;2;9;9;9;2;9;9
112;1;4;9;2;9;9;9;2;9;9;9;2;9;9
113;2;2;9;2;9;9;9;2;9;9;9;9;3;9
114;1;2;9;9;3;9;9;2;9;9;1;9;9;9
115;2;4;9;2;9;9;1;9;9;9;9;9;3;9
116;1;2;1;9;9;9;9;2;9;9;9;9;3;9
117;2;2;9;2;9;9;9;9;3;9;9;9;3;9
118;2;3;9;9;3;9;9;9;3;9;9;2;9;9
119;1;1;9;2;9;9;9;2;9;9;9;2;9;9
120;2;1;9;9;9;4;9;9;9;4;9;9;9;4
121;2;2;9;2;9;9;9;9;3;9;9;9;9;9
122;1;2;9;2;9;9;9;9;3;9;9;2;9;9
123;2;2;9;9;3;9;9;9;3;9;9;2;9;9
124;2;3;9;9;3;9;9;9;9;4;9;9;9;4
125;2;4;9;2;9;9;9;9;3;9;9;2;9;9
126;2;5;1;9;9;9;1;9;9;9;1;9;9;9
127;1;2;9;2;9;9;9;9;3;9;9;9;3;9
128;2;2;9;9;3;9;9;9;3;9;9;2;9;9
129;1;1;9;2;9;9;9;2;9;9;9;9;3;9
130;1;2;9;9;3;9;9;9;3;9;9;2;9;9
131;2;3;1;9;9;9;9;9;3;9;9;2;9;9
132;2;1;9;2;9;9;9;2;9;9;9;2;9;9
133;2;5;9;2;9;9;9;2;9;9;1;9;9;9
134;2;1;9;9;3;9;9;9;3;9;9;9;3;9
135;2;1;9;9;3;9;9;9;3;9;9;9;3;9
136;2;5;1;9;9;9;9;2;9;9;1;9;9;9
137;1;4;9;9;3;9;9;9;9;4;9;9;3;9
138;1;5;9;2;9;9;9;2;9;9;9;2;9;9
139;2;2;1;9;9;9;1;9;9;9;9;2;9;9
140;2;2;9;2;9;9;9;2;9;9;9;2;9;9
141;2;1;9;2;9;9;9;2;9;9;9;9;9;9
142;1;3;9;2;9;9;9;9;3;9;9;9;3;9
143;1;1;9;9;9;4;9;9;3;9;1;9;9;9
144;1;3;9;9;3;9;9;9;3;9;1;9;9;9
145;2;4;9;2;9;9;9;2;9;9;1;9;9;9
146;2;3;9;2;9;9;9;9;3;9;9;9;3;9
147;2;4;9;2;9;9;1;9;9;9;9;9;3;9
148;1;5;9;2;9;9;9;2;9;9;9;9;3;9
149;1;3;9;2;9;9;9;2;9;9;9;9;3;9
150;2;4;9;9;3;9;9;2;9;9;9;9;3;9
151;1;4;9;9;3;9;9;2;9;9;9;2;9;9
152;1;4;1;9;9;9;9;2;9;9;9;2;9;9
153;1;4;1;9;9;9;9;9;3;9;1;9;9;9
154;2;2;9;9;3;9;9;9;3;9;9;9;3;9
155;1;3;9;9;3;9;9;9;3;9;9;9;3;9
156;2;3;9;9;3;9;9;9;3;9;9;9;3;9
157;1;1;9;9;3;9;9;9;3;9;9;9;3;9
158;2;4;9;2;9;9;9;9;3;9;9;9;3;9
159;1;2;9;9;3;9;9;9;3;9;9;9;3;9
160;2;1;9;9;3;9;9;9;3;9;9;2;9;9
161;2;5;1;9;9;9;9;2;9;9;9;2;9;9
162;1;5;1;9;9;9;9;2;9;9;1;9;9;9
163;2;2;9;2;9;9;9;9;3;9;9;2;9;9
164;1;1;9;9;3;9;9;9;3;9;9;9;3;9
165;1;5;9;2;9;9;9;2;9;9;9;2;9;9
166;2;2;9;2;9;9;9;2;9;9;9;2;9;9
167;1;4;9;2;9;9;9;9;3;9;9;2;9;9
168;1;3;9;9;3;9;9;9;3;9;9;9;3;9
169;1;4;9;9;3;9;9;2;9;9;1;9;9;9
170;1;2;9;9;3;9;9;9;3;9;9;9;3;9
171;2;1;9;9;3;9;9;9;3;9;9;9;3;9
172;2;4;9;9;3;9;9;9;3;9;9;2;9;9
173;1;3;9;9;3;9;9;9;3;9;9;2;9;9
174;2;3;1;9;9;9;9;2;9;9;9;2;9;9
175;2;5;9;9;3;9;1;9;9;9;9;9;3;9
176;2;3;9;2;9;9;9;2;9;9;9;2;9;9
177;1;1;9;9;3;9;9;9;3;9;9;2;9;9
178;2;4;9;9;3;9;9;9;9;4;9;9;3;9
179;1;4;9;2;9;9;9;9;3;9;9;9;3;9
180;2;4;9;9;3;9;9;9;3;9;9;9;3;9
181;1;1;9;9;3;9;9;9;3;9;9;9;3;9
182;1;3;9;9;9;4;9;2;9;9;9;9;9;4
183;1;5;9;9;3;9;9;9;3;9;9;9;3;9
184;1;5;1;9;9;9;9;9;3;9;1;9;9;9
185;2;2;9;2;9;9;9;2;9;9;9;2;9;9
186;2;5;9;9;3;9;9;9;3;9;9;9;3;9
187;2;2;9;2;9;9;9;2;9;9;9;2;9;9
188;2;3;9;2;9;9;9;9;3;9;9;9;3;9
