Bicentenario 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO;SEXO;Tramo edad;S1.-Eliminar la pobreza 1;S1.-Eliminar la pobreza 2;S1.-Eliminar la pobreza 3;S1.-Eliminar la pobreza 4;S2.-Ser un país desarrollado 1;S2.-Ser un país desarrollado 2;S2.-Ser un país desarrollado 3;S2.-Ser un país desarrollado 4;S3.-Detener el daño al medio ambiente 1;S3.-Detener el daño al medio ambiente 2;S3.-Detener el daño al medio ambiente 3;S3.-Detener el daño al medio ambiente 4
88;Hombre;4;9;9;3;9;9;2;9;9;9;9;3;9
89;Mujer;5;9;9;3;9;9;9;3;9;9;9;3;9
90;Mujer;3;9;2;9;9;9;2;9;9;9;9;3;9
91;Hombre;5;9;9;3;9;9;9;3;9;9;9;3;9
92;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
93;Mujer;4;9;9;3;9;9;2;9;9;9;2;9;9
94;Hombre;5;9;2;9;9;9;2;9;9;9;2;9;9
95;Hombre;4;9;9;3;9;9;2;9;9;9;2;9;9
96;Hombre;5;9;2;9;9;9;2;9;9;9;2;9;9
97;Mujer;5;9;9;3;9;9;9;3;9;9;9;3;9
98;Hombre;3;9;9;3;9;9;2;9;9;9;2;9;9
99;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
100;Mujer;4;1;9;9;9;1;9;9;9;9;2;9;9
101;Hombre;5;9;9;3;9;9;9;3;9;9;2;9;9
102;Hombre;4;9;2;9;9;9;2;9;9;1;9;9;9
103;Mujer;5;9;9;3;9;9;2;9;9;9;9;3;9
104;Mujer;4;9;2;9;9;9;2;9;9;1;9;9;9
105;Mujer;5;1;9;9;9;9;9;3;9;9;2;9;9
106;Hombre;5;9;9;3;9;9;2;9;9;9;2;9;9
107;Mujer;5;9;9;3;9;9;9;3;9;9;2;9;9
108;Mujer;5;9;2;9;9;9;9;9;9;9;2;9;9
109;Mujer;3;9;2;9;9;9;2;9;9;9;2;9;9
110;Hombre;5;9;9;3;9;9;2;9;9;1;9;9;9
111;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
112;Mujer;3;9;2;9;9;9;2;9;9;1;9;9;9
113;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
114;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
115;Mujer;5;1;9;9;9;9;2;9;9;9;2;9;9
116;Hombre;3;9;2;9;9;9;2;9;9;9;9;3;9
117;Hombre;5;9;2;9;9;1;9;9;9;9;2;9;9
118;Hombre;4;9;2;9;9;9;2;9;9;9;2;9;9
119;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
120;Mujer;5;9;2;9;9;1;9;9;9;9;2;9;9
121;Hombre;5;9;2;9;9;9;2;9;9;1;9;9;9
122;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
123;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
124;Hombre;5;9;2;9;9;9;9;3;9;9;9;3;9
125;Hombre;5;9;2;9;9;9;2;9;9;9;9;3;9
126;Mujer;1;9;2;9;9;9;2;9;9;1;9;9;9
127;Hombre;4;9;9;3;9;9;9;3;9;9;9;3;9
128;Mujer;3;9;2;9;9;9;9;3;9;9;9;3;9
129;Mujer;1;9;2;9;9;9;9;3;9;1;9;9;9
130;Hombre;2;9;2;9;9;9;2;9;9;9;2;9;9
131;Hombre;5;9;2;9;9;9;9;3;9;1;9;9;9
132;Hombre;5;9;2;9;9;9;9;3;9;9;2;9;9
133;Hombre;3;1;9;9;9;1;9;9;9;9;2;9;9
134;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
